N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,13.411852,9.964016,24.468590
2048.000000,30.268685,21.766559,64.674216
4096.000000,63.882715,45.335077,117.333435
8192.000000,67.444342,62.781255,142.353413
16384.000000,90.575621,76.386017,135.163876
32768.000000,134.580512,96.269500,161.745441
65536.000000,162.845022,104.381053,186.636289
131072.000000,164.769615,120.327432,188.735845
