N_CTX,Triton [FP16],Flash-2
1024.000000,2.386324,5.642477
2048.000000,5.067262,12.666102
4096.000000,10.435719,27.028507
8192.000000,21.103064,55.557097
16384.000000,42.211914,112.223450
32768.000000,64.915441,160.381247
65536.000000,67.334434,169.879725
131072.000000,68.394683,175.013338
